subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Arithmetic reasoning,29,18-29,HS/Some HS,Male,6674,13.49,4.98,7,10,13,17,20
Arithmetic reasoning,29,18-29,HS/Some HS,Female,3349,12.5,4.79,7,9,12,16,19
Arithmetic reasoning,29,18-29,College/Some college/Associate's,Male,22370,16.17,5.03,10,13,16,20,23
Arithmetic reasoning,29,18-29,College/Some college/Associate's,Female,18259,15.09,4.88,9,12,15,18,21
Arithmetic reasoning,29,18-29,Professional deg./Ph.D./Master's,Male,3857,17.57,5.1,11,14,17,21,24
Arithmetic reasoning,29,18-29,Professional deg./Ph.D./Master's,Female,4510,16.49,4.95,10,13,16,20,23
Arithmetic reasoning,29,30-39,HS/Some HS,Male,2206,13.11,4.8,7,10,13,16,19
Arithmetic reasoning,29,30-39,HS/Some HS,Female,1446,12.51,4.69,7,9,12,15,19
Arithmetic reasoning,29,30-39,College/Some college/Associate's,Male,12828,15.86,4.93,9,12,16,19,22
Arithmetic reasoning,29,30-39,College/Some college/Associate's,Female,12404,15.08,4.83,9,12,15,18,21
Arithmetic reasoning,29,30-39,Professional deg./Ph.D./Master's,Male,5972,17.34,4.97,11,14,17,21,24
Arithmetic reasoning,29,30-39,Professional deg./Ph.D./Master's,Female,7302,16.59,4.83,10,13,17,20,23
Arithmetic reasoning,29,40-49,HS/Some HS,Male,2012,12.89,4.6,7,10,13,16,19
Arithmetic reasoning,29,40-49,HS/Some HS,Female,2334,13.07,4.67,7,10,13,16,19
Arithmetic reasoning,29,40-49,College/Some college/Associate's,Male,10048,15.62,4.71,10,12,16,19,22
Arithmetic reasoning,29,40-49,College/Some college/Associate's,Female,15640,15.0,4.59,9,12,15,18,21
Arithmetic reasoning,29,40-49,Professional deg./Ph.D./Master's,Male,5441,16.92,4.64,11,14,17,20,23
Arithmetic reasoning,29,40-49,Professional deg./Ph.D./Master's,Female,8438,16.38,4.71,10,13,16,20,22
Arithmetic reasoning,29,50-59,HS/Some HS,Male,2489,12.3,4.22,7,9,12,15,18
Arithmetic reasoning,29,50-59,HS/Some HS,Female,4721,12.78,4.22,7,10,13,16,18
Arithmetic reasoning,29,50-59,College/Some college/Associate's,Male,11225,14.5,4.35,9,12,15,17,20
Arithmetic reasoning,29,50-59,College/Some college/Associate's,Female,26299,14.33,4.31,9,11,14,17,20
Arithmetic reasoning,29,50-59,Professional deg./Ph.D./Master's,Male,5732,15.89,4.32,10,13,16,19,21
Arithmetic reasoning,29,50-59,Professional deg./Ph.D./Master's,Female,12439,15.44,4.25,10,13,15,18,21
Arithmetic reasoning,29,60-69,HS/Some HS,Male,1573,11.46,3.99,6,9,11,14,17
Arithmetic reasoning,29,60-69,HS/Some HS,Female,3930,11.76,3.96,7,9,12,14,17
Arithmetic reasoning,29,60-69,College/Some college/Associate's,Male,9601,13.35,4.01,8,11,13,16,18
Arithmetic reasoning,29,60-69,College/Some college/Associate's,Female,21437,13.25,4.03,8,10,13,16,18
Arithmetic reasoning,29,60-69,Professional deg./Ph.D./Master's,Male,6390,14.49,4.05,9,12,15,17,20
Arithmetic reasoning,29,60-69,Professional deg./Ph.D./Master's,Female,12142,14.19,3.92,9,12,14,17,19
Arithmetic reasoning,29,70-99,HS/Some HS,Male,909,9.58,3.89,5,7,9,12,15
Arithmetic reasoning,29,70-99,HS/Some HS,Female,2078,9.95,3.75,5,7,10,12,15
Arithmetic reasoning,29,70-99,College/Some college/Associate's,Male,4370,11.37,3.91,6,9,11,14,16
Arithmetic reasoning,29,70-99,College/Some college/Associate's,Female,8280,11.24,3.91,6,9,11,14,16
Arithmetic reasoning,29,70-99,Professional deg./Ph.D./Master's,Male,3887,12.14,4.01,7,9,12,15,17
Arithmetic reasoning,29,70-99,Professional deg./Ph.D./Master's,Female,4345,12.02,3.87,7,9,12,15,17
Digit symbol coding,45,18-29,HS/Some HS,Male,6497,48.46,10.25,37,42,48,54,61
Digit symbol coding,45,18-29,HS/Some HS,Female,3235,48.67,9.88,37,43,48,54,61
Digit symbol coding,45,18-29,College/Some college/Associate's,Male,21932,52.55,10.82,41,46,51,58,66
